Date,Open,High,Low,Close
2017-09-01 09:00:00,247.92,248.12,247.69,247.85
2017-09-01 10:00:00,247.85,248.17,247.67,248.13
2017-09-01 11:00:00,248.13,248.2,247.85,248.09
2017-09-01 12:00:00,248.09,248.32,248.05,248.28
2017-09-01 13:00:00,248.28,248.33,248.13,248.17
2017-09-01 14:00:00,248.17,248.25,248.09,248.16
2017-09-01 15:00:00,248.16,248.23,247.87,247.88
2017-09-05 09:00:00,247.24,247.52,246.94,247.37
2017-09-05 10:00:00,247.37,247.48,246.61,246.83
2017-09-05 11:00:00,246.83,246.88,246.46,246.75
2017-09-05 12:00:00,246.75,246.76,245.28,245.55
2017-09-05 13:00:00,245.55,245.77,244.95,245.75
2017-09-05 14:00:00,245.75,246.15,245.61,245.82
2017-09-05 15:00:00,245.82,246.25,245.57,246.1
2017-09-06 09:00:00,246.85,247.0,246.6,246.77
2017-09-06 10:00:00,246.77,247.08,246.24,246.69
2017-09-06 11:00:00,246.69,246.75,246.23,246.59
2017-09-06 12:00:00,246.59,246.86,246.42,246.82
2017-09-06 13:00:00,246.82,247.03,246.8,246.88
2017-09-06 14:00:00,246.88,247.19,246.85,247.07
2017-09-06 15:00:00,247.07,247.28,246.8,246.91
2017-09-07 09:00:00,247.26,247.27,246.84,246.9
2017-09-07 10:00:00,246.9,247.16,246.43,247.02
2017-09-07 11:00:00,247.02,247.14,246.56,246.69
2017-09-07 12:00:00,246.69,246.78,246.4,246.69
2017-09-07 13:00:00,246.69,246.85,246.6,246.77
2017-09-07 14:00:00,246.77,246.91,246.69,246.87
2017-09-07 15:00:00,246.87,246.94,246.55,246.89
2017-09-08 09:00:00,246.53,246.72,246.3,246.71
2017-09-08 10:00:00,246.71,246.87,246.55,246.83
2017-09-08 11:00:00,246.83,247.11,246.74,246.77
2017-09-08 12:00:00,246.77,246.91,246.58,246.85
2017-09-08 13:00:00,246.85,246.87,246.63,246.74
2017-09-08 14:00:00,246.74,246.94,246.63,246.76
2017-09-08 15:00:00,246.76,246.82,246.36,246.55
2017-09-11 09:00:00,248.04,248.65,248.02,248.53
2017-09-11 10:00:00,248.53,248.79,248.5,248.55
2017-09-11 11:00:00,248.55,248.95,248.51,248.9
2017-09-11 12:00:00,248.9,249.3,248.81,249.12
2017-09-11 13:00:00,249.12,249.24,249.1,249.16
2017-09-11 14:00:00,249.16,249.22,249.04,249.04
2017-09-11 15:00:00,249.04,249.21,249.0,249.17
2017-09-12 09:00:00,249.63,249.97,249.57,249.78
2017-09-12 10:00:00,249.78,249.86,249.42,249.59
2017-09-12 11:00:00,249.59,249.76,249.51,249.7
2017-09-12 12:00:00,249.7,249.93,249.65,249.89
2017-09-12 13:00:00,249.89,250.05,249.8,249.8
2017-09-12 14:00:00,249.8,249.88,249.66,249.77
2017-09-12 15:00:00,249.77,250.07,249.6,250.07
2017-09-13 09:00:00,249.71,249.97,249.59,249.96
2017-09-13 10:00:00,249.96,250.06,249.84,249.95
2017-09-13 11:00:00,249.95,250.1,249.73,249.87
2017-09-13 12:00:00,249.87,250.12,249.84,250.03
2017-09-13 13:00:00,250.03,250.07,249.86,249.96
2017-09-13 14:00:00,249.96,250.11,249.91,250.03
2017-09-13 15:00:00,250.03,250.21,249.94,250.18
